scorer,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000,DLC_resnet50_RobertTestOct3shuffle1_1030000
bodyparts,nose,nose,nose,leftear,leftear,leftear,rightear,rightear,rightear,tailbase,tailbase,tailbase,tailend,tailend,tailend
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
12,87.36602783203125,65.98889923095703,1.0,81.72174835205078,84.83231353759766,0.9999998807907104,99.64878845214844,74.49018859863281,1.0,161.55628967285156,139.3419189453125,1.0,268.9184875488281,199.90878295898438,0.9999997615814209
13,90.8646469116211,65.36650848388672,1.0,84.4332504272461,82.54380798339844,1.0,102.96339416503906,73.03086853027344,1.0,163.98519897460938,138.06260681152344,1.0,271.70025634765625,198.20233154296875,0.9999998807907104
14,94.44497680664062,63.4727783203125,1.0,87.31790161132812,81.216796875,0.9999996423721313,105.55368041992188,71.19120025634766,0.9999998807907104,167.1999053955078,137.41835021972656,1.0,274.2499694824219,198.85951232910156,1.0
15,96.60617065429688,62.14850997924805,1.0,89.9912109375,79.99234771728516,0.9999914169311523,107.82283782958984,70.06686401367188,1.0,170.59161376953125,136.395263671875,1.0,277.0916442871094,198.98544311523438,1.0
16,97.61895751953125,61.52351760864258,1.0,92.0103530883789,79.55445098876953,0.9999922513961792,108.8922119140625,69.06410217285156,1.0,172.80772399902344,135.9666290283203,1.0,279.5567932128906,198.5612030029297,1.0
17,97.54940032958984,61.37986373901367,1.0,93.54386138916016,80.40564727783203,0.999996542930603,109.5564956665039,68.69569396972656,1.0,175.16476440429688,134.6309814453125,1.0,280.2934875488281,198.84353637695312,0.9999997615814209
18,96.98307800292969,60.80302810668945,1.0,94.47881317138672,80.12264251708984,0.9999966621398926,109.42127227783203,67.44972229003906,1.0,176.6907501220703,132.67086791992188,1.0,281.3857421875,199.0604248046875,0.9999998807907104
19,96.96734619140625,61.405826568603516,1.0,94.91011047363281,79.95327758789062,0.9999986886978149,110.09883880615234,66.6636734008789,1.0,177.63018798828125,131.53921508789062,1.0,283.4916687011719,197.6042938232422,0.9999998807907104
20,97.04483032226562,62.23760223388672,1.0,95.52830505371094,80.14190673828125,0.9999995231628418,110.16252899169922,66.78421020507812,1.0,178.47634887695312,130.9217529296875,1.0,286.1669616699219,195.86172485351562,1.0
21,95.51022338867188,65.597900390625,0.9999998807907104,96.60665130615234,82.29187774658203,0.9999998211860657,110.64657592773438,66.61966705322266,1.0,178.9744415283203,129.82481384277344,1.0,285.96875,196.00755310058594,1.0
22,95.43114471435547,66.62071228027344,0.9999999403953552,97.86227416992188,83.46031951904297,1.0,110.89611053466797,66.2155532836914,0.9999998807907104,181.32444763183594,129.214599609375,1.0,285.729248046875,196.76637268066406,0.9999998807907104
23,95.2501220703125,67.26266479492188,1.0,98.60945129394531,83.99723052978516,1.0,111.00364685058594,66.75948333740234,1.0,183.70404052734375,130.23541259765625,1.0,288.1183166503906,195.41539001464844,1.0
24,96.45651245117188,67.11652374267578,1.0,99.25941467285156,84.33074951171875,1.0,111.72057342529297,67.0189437866211,1.0,185.33248901367188,131.2445526123047,1.0,290.54876708984375,195.4619903564453,1.0
25,98.23064422607422,68.17638397216797,1.0,101.22795104980469,85.44000244140625,1.0,113.23426055908203,67.84186553955078,1.0,186.37689208984375,131.89617919921875,1.0,291.95599365234375,195.1510467529297,1.0
